matrix.txt,28,14,2
2,6,0.192508
2,10,0.143598
2,16,0.164232
2,20,0.169462
3,6,0.246696
3,10,0.216103
3,16,0.189227
3,20,0.237693
4,6,0.194157
4,10,0.177869
4,16,0.205865
4,20,0.166740
5,6,0.129981
5,10,0.124115
5,16,0.122395
5,20,0.117834
6,6,0.141585
6,10,0.128001
6,16,0.136722
6,20,0.137208
7,6,0.191186
7,10,0.160214
7,16,0.155674
7,20,0.156392
8,6,0.239407
8,10,0.202569
8,16,0.169577
8,20,0.170123
9,6,0.197144
9,10,0.186296
9,16,0.187542
9,20,0.188078
10,6,0.242938
10,10,0.208533
10,16,0.209724
10,20,0.208877
11,6,0.242540
11,10,0.232100
11,16,0.236186
11,20,0.257516
12,6,0.275545
12,10,0.269756
12,16,0.255366
12,20,0.261130
13,6,0.291569
13,10,0.305396
13,16,0.282978
13,20,0.276322
14,6,0.306797
14,10,0.290588
14,16,0.316924
14,20,0.289558
15,6,0.352249
15,10,0.328318
15,16,0.316954
15,20,0.344785
16,6,0.362973
16,10,0.362964
16,16,0.361535
16,20,0.349077
17,6,0.414331
17,10,0.406916
17,16,0.361291
17,20,0.400452
18,6,0.448409
18,10,0.422929
18,16,0.413581
18,20,0.402302
19,6,0.431996
19,10,0.422013
19,16,0.419123
19,20,0.441058
20,6,0.499571
20,10,0.460733
20,16,0.460110
20,20,0.451305
21,6,0.525190
21,10,0.468290
21,16,0.511477
21,20,0.477736
22,6,0.487872
22,10,0.468043
22,16,0.477793
22,20,0.509951
23,6,0.554757
23,10,0.520262
23,16,0.502733
23,20,0.538516
24,6,0.609820
24,10,0.579622
24,16,0.572479
24,20,0.582977
25,6,0.597556
25,10,0.566340
25,16,0.551351
25,20,0.549849
26,6,0.613383
26,10,0.582065
26,16,0.580120
26,20,0.569794
27,6,0.621056
27,10,0.637344
27,16,0.583037
27,20,0.589294
28,6,0.600181
28,10,0.646339
28,16,0.606349
28,20,0.610191
2,6,0.178492
2,10,0.158843
2,16,0.198982
2,20,0.145627
3,6,0.121424
3,10,0.233141
3,16,0.143346
3,20,0.218874
4,6,0.156053
4,10,0.160136
4,16,0.120727
4,20,0.241543
5,6,0.141469
5,10,0.140612
5,16,0.164586
5,20,0.127378
6,6,0.147802
6,10,0.147463
6,16,0.139834
6,20,0.136057
7,6,0.163895
7,10,0.163968
7,16,0.155000
7,20,0.157146
8,6,0.170995
8,10,0.177500
8,16,0.169586
8,20,0.170547
9,6,0.214596
9,10,0.190798
9,16,0.185324
9,20,0.182890
10,6,0.238189
10,10,0.203855
10,16,0.214958
10,20,0.205510
11,6,0.230758
11,10,0.239793
11,16,0.231035
11,20,0.239913
12,6,0.264409
12,10,0.254808
12,16,0.280740
12,20,0.249508
13,6,0.368258
13,10,0.284836
13,16,0.278342
13,20,0.275610
14,6,0.343044
14,10,0.324998
14,16,0.308198
14,20,0.336702
15,6,0.336100
15,10,0.373173
15,16,0.362831
15,20,0.337823
16,6,0.376512
16,10,0.343535
16,16,0.376246
16,20,0.349261
17,6,0.422608
17,10,0.374678
17,16,0.395732
17,20,0.393990
18,6,0.412948
18,10,0.413305
18,16,0.431547
18,20,0.423300
19,6,0.440318
19,10,0.424036
19,16,0.441945
19,20,0.434139
20,6,0.511897
20,10,0.455637
20,16,0.442775
20,20,0.441972
21,6,0.486907
21,10,0.484373
21,16,0.516099
21,20,0.508234
22,6,0.513991
22,10,0.494511
22,16,0.544861
22,20,0.504564
23,6,0.556543
23,10,0.554464
23,16,0.549455
23,20,0.541860
24,6,0.540649
24,10,0.577684
24,16,0.552012
24,20,0.530086
25,6,0.574717
25,10,0.585216
25,16,0.557613
25,20,0.523722
26,6,0.583797
26,10,0.588082
26,16,0.599998
26,20,0.593718
27,6,0.657973
27,10,0.602696
27,16,0.620098
27,20,0.656644
28,6,0.694543
28,10,0.654159
28,16,0.625020
28,20,0.681456
2,6,0.152255
2,10,0.180253
2,16,0.074008
2,20,0.175367
3,6,0.241456
3,10,0.207637
3,16,0.215817
3,20,0.142193
4,6,0.220197
4,10,0.177954
4,16,0.168916
4,20,0.167450
5,6,0.176985
5,10,0.126337
5,16,0.125026
5,20,0.166575
6,6,0.164676
6,10,0.148009
6,16,0.140132
6,20,0.138154
